Curv,theta,xi,yi,sLap
0.0302884017600679,-1.44853810568565,32.6875661243858,-46.9944259942075,58.4950897765747
0.033761853654654,-1.4264997915014,32.7783899555562,-47.6725400928771,59.1792698559563
0.0350015117677443,-1.40284916932755,32.884677919802,-48.3483944222877,59.8634499353379
0.0349637376980254,-1.39588334757657,32.9186610251058,-48.544566320839,60.0625425403735
0.0347660479894357,-1.38893332677594,32.9539778553607,-48.7405025684817,60.2616351454092
0.0329638128841179,-1.36568499020421,33.0856255578293,-49.4118785151809,60.9458152247908
0.0297825412423604,-1.34414146165338,33.2322763189688,-50.0801466108101,61.6299953041724
0.0286654938428109,-1.33832797953336,33.2775951883377,-50.2740109577395,61.829087909208
0.0274850767524643,-1.33273250978492,33.3240069524796,-50.467620044882,62.0281805142437
0.0231260217630962,-1.31540947398544,33.491269104573,-51.1310266140954,62.7123605936253
0.0186006403964675,-1.30112571537161,33.668996637008,-51.7917177795455,63.3965406730069
0.0173093390546138,-1.2975564304136,33.7223853213776,-51.9835165975125,63.5956332780426
0.016037315236754,-1.29423624074204,33.7764372115231,-52.1751323239394,63.7947258830782
0.0119124920830387,-1.28470058385373,33.9665321021397,-52.8323690317984,64.4789059624598
0.00823831882993061,-1.27783288595577,34.1620123767982,-53.4880293465443,65.1630860418414
0.00726672827914238,-1.27629133561112,34.2196545229716,-53.6785941442292,65.3621786468771
0.00633639675496069,-1.27493839157686,34.2775800946291,-53.8690739830125,65.5612712519127
0.00345941699452862,-1.27161396578543,34.4782459996066,-54.523164633527,66.2454513312943
0.00104941118568187,-1.27009816509724,34.6804945830073,-55.176768688723,66.9296314106759
0.000430395629223732,-1.2699509711318,34.7394752736137,-55.3669241306272,67.1287240157116
-0.000153567757605647,-1.26992451026792,34.798479337658,-55.5570724165966,67.3278166207472
-0.00190029244310044,-1.27064833742313,35.0010598075134,-56.2105734896189,68.0119967001288
-0.00327479867443623,-1.27243990658655,35.2028181200883,-56.8643285381191,68.6961767795104
-0.00361061642515961,-1.27312527372815,35.2612740792789,-57.0546461410737,68.8952693845461
-0.00392008470856154,-1.27387595433753,35.3195984231444,-57.2450039887976,69.0943619895818
-0.00479758039441895,-1.27687255682398,35.518821124574,-57.899536293142,69.7785420689634
-0.00542293043982925,-1.28038326786629,35.7159130437909,-58.5547129682219,70.462722148345
-0.00556430162959977,-1.28147668751291,35.7728168661812,-58.7455003964361,70.6618147533806
-0.00568921700078377,-1.28259776092801,35.8295124255149,-58.9363497177453,70.8609073584163
-0.00601788738605677,-1.28660952499154,36.0226676379712,-59.5926978759065,71.5450874377979
-0.0062258832406676,-1.29080487723036,36.2131278248236,-60.2498329631939,72.2292675171795
-0.00627034892474349,-1.29204834276234,36.2680267004214,-60.4412069039205,72.4283601222151
-0.00630831643018483,-1.29330070447024,36.3226883087326,-60.6326487141403,72.6274527272508
-0.00638897599107683,-1.29764841301262,36.5086887146514,-61.2910600660189,73.3116328066324
-0.0063978777067036,-1.30202675957563,36.6918146888679,-61.9502766428251,73.995812886014
-0.00638800664863477,-1.30329954663062,36.7445600093775,-62.1422552696634,74.1949054910497
-0.00637352763373629,-1.30457018140988,36.7970619532175,-62.3343006025305,74.3939980960853
-0.0062984957170293,-1.3089066739959,36.9756294360165,-62.994766552462,75.0781781754669
-0.00619681090514732,-1.31318271354923,37.1513511494756,-63.6559953915112,75.7623582548485
-0.0061645632934655,-1.31441304630668,37.2019559137555,-63.8485493171235,75.9614508598842
-0.00613085867017253,-1.31563667931175,37.2523249323807,-64.0411650707646,76.1605434649198
-0.00600468072254009,-1.31979020571792,37.4236310742491,-64.7035515638317,76.8447235443014
-0.00584203424205647,-1.323844928164,37.592217291047,-65.366635626745,77.528903623683
-0.00578401726352937,-1.32500269186235,37.6407730262919,-65.5597164269502,77.7279962287187
-0.00571924002158987,-1.32614776520818,37.6891075091058,-65.7528527816969,77.9270888337543
-0.00544060704172483,-1.32997089848761,37.8535447420452,-66.4169778523278,78.6112689131359
-0.00506619656540109,-1.33357063210518,38.0155160397042,-67.0817088283605,79.2954489925175
-0.00493756765915578,-1.33456677234311,38.0622065656644,-67.2752491200416,79.4945415975532
-0.00479971169095748,-1.33553617726094,38.1087086088836,-67.4688348658638,79.6936342025889
-0.00425524948230379,-1.33864023095269,38.2671325323272,-68.1344201146774,80.3778142819704
-0.0035978053592545,-1.34133312445973,38.4236266752563,-68.8004620188314,81.061994361352
-0.00338462811479246,-1.34202842258774,38.4688421981325,-68.9943522015472,81.2610869663877
-0.00316134904220991,-1.34268048030093,38.5139289202544,-69.1882724629196,81.4601795714234
-0.00231563953249332,-1.34456017487775,38.6679905272401,-69.8548811525881,82.144359650805
-0.00136344335781688,-1.34582482382763,38.8210039704456,-70.5217314445153,82.8285397301866
-0.00106917317526109,-1.34606685112286,38.8653919167141,-70.7158127740601,83.0276323352222
-0.000769055441447203,-1.34625040311702,38.9097396590076,-70.9099033281588,83.2267249402579
0.000296925978824133,-1.34641336450902,39.0619863621219,-71.5769290625355,83.9109050196395
0.00138834991815318,-1.34583829901593,39.2143704962965,-72.2439233781972,84.5950850990211
0.00170542933133888,-1.34552983308669,39.2588098592969,-72.4379929864857,84.7941777040567
0.00202099861084567,-1.34515935787555,39.3033145699337,-72.6320475561746,84.9932703090924
0.00307003038183558,-1.34341281257628,39.4569283392986,-73.2987598123349,85.677450388474
0.00403215539974643,-1.34097827057126,39.6119354882079,-73.9651491561845,86.3616304678556
0.00428978684386716,-1.34014913088963,39.6573691185409,-74.1589884509995,86.5607230728912
0.00453749040215009,-1.33926977290789,39.7029668858881,-74.3527890701814,86.7598156779269
0.00531457990796976,-1.33589449113892,39.861057063496,-75.0184538816181,87.4439957573085
0.00600420743077385,-1.33201746008342,40.0215599011746,-75.6835406554722,88.1281758366901
0.00619360300037973,-1.33080360257731,40.0687661085689,-75.8769559162657,88.3272684417258
0.00638017527829107,-1.32955146500254,40.1162100910409,-76.0703128347229,88.5263610467614
0.0070121402725056,-1.32497074086983,40.2811656357091,-76.734309425609,89.210541126143
0.00765556936441474,-1.31995371712356,40.4493055812185,-77.3975063117295,89.8947212055246
0.00784978437412249,-1.31841071313977,40.4988724975845,-77.5903300936761,90.0938138105603
0.0080479298902807,-1.31682803482604,40.5487414173081,-77.7830757850567,90.292906415596
0.00877376825070862,-1.3110781831965,40.7225136201491,-78.4448194496043,90.9770864949776
0.00958175612671394,-1.30480362488885,40.9002609980363,-79.1055057149714,91.6612665743591
0.00983466798659041,-1.30287114212306,40.9527800344573,-79.2975464735651,91.8603591793948
0.0100949631071255,-1.30088769471139,41.0056760639325,-79.4894834105424,92.0594517844305
0.0110438885199901,-1.29365994004853,41.1904528681743,-80.1482386476305,92.7436318638121
0.0120565853764419,-1.2857611339457,41.3802063458068,-80.8055764326867,93.4278119431937
0.0123593947927018,-1.28333031890738,41.4364201575425,-80.9965684016427,93.6269045482293
0.0126643167262624,-1.28083952284355,41.4931041957636,-81.1874208688966,93.825997153265
0.0137212205438789,-1.27181342534013,41.6916355533582,-81.8421614967108,94.5101772326466
0.014780439341155,-1.26206342336738,41.8963043007306,-82.4950080121395,95.1943573120282
0.0150869045944884,-1.259090024324,41.9570799321367,-82.6845977378029,95.3934499170638
0.0153923442748838,-1.25605592217321,42.0184244265923,-82.8740035738989,95.5925425220995
0.0164294757682832,-1.24516881834254,42.2337252355683,-83.5234219557817,96.2767226014811
0.0174459784985364,-1.23357918669879,42.4563100348954,-84.1703780720457,96.9609026808627
0.0177376656701676,-1.23007673267261,42.5225105229183,-84.3581423977292,97.1599952858983
0.0180274486329628,-1.22651652251963,42.589373055482,-84.545671318449,97.359087890934
0.0190128380051698,-1.21384416524623,42.8243357931948,-85.188236206764,98.0432679703156
0.0199764059784378,-1.20050508907716,43.0676346201412,-85.8276891750883,98.7274480496972
0.0202516413419403,-1.1965003996604,43.1400545455271,-86.0131434824808,98.9265406547329
0.0205225493241514,-1.19244256202472,43.213219863747,-86.1983042912315,99.1256332597685
0.0214069722155031,-1.17809087648345,43.470474440038,-86.8322722536521,99.8098133391501
0.0221508381897728,-1.1631821695395,43.7369753414857,-87.4624071764017,100.493993418532
0.0223280415605959,-1.15875298430204,43.8163048764767,-87.6450126253717,100.693086023567
0.0224826971132657,-1.15429271595754,43.8964409469605,-87.8272651660363,100.892178628603
0.0228015527905639,-1.1387795535613,44.1780742066567,-88.450784097336,101.576358707985
0.0227367980718542,-1.12317946575806,44.4693725217051,-89.0698463077186,102.260538787366
0.0226357133605188,-1.11866124714222,44.5559519624237,-89.2491277011051,102.459631392402
0.0224977428899366,-1.11416749228754,44.6433321540834,-89.4280205558734,102.658723997438
